instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,RSI
IFCI LTD,NSE_EQ|INE039A01010,Monthly,2025-09-01,51.25,60.4,51.25,58.59,125698758.0,0.0,36.964804063860676
SHYAM METALICS AND ENGY L,NSE_EQ|INE810G01011,Monthly,2025-09-01,904.0,950.0,896.0,918.35,2438615.0,0.0,60.640076427036064
AVANTEL LIMITED,NSE_EQ|INE005B01027,Monthly,2025-09-01,152.0,194.4,149.71,189.73,85272113.0,0.0,47.035460992907794
IFB AGRO INDUSTRIES LTD,NSE_EQ|INE076C01018,Monthly,2025-09-01,750.0,818.3,735.0,775.15,60557.0,0.0,62.48169640436033
PC JEWELLER LTD,NSE_EQ|INE785M01021,Monthly,2025-09-01,13.11,15.38,13.0,13.67,1256031667.0,0.0,58.24980724749421
REDINGTON LIMITED,NSE_EQ|INE891D01026,Monthly,2025-09-01,240.6,314.4,235.64,290.2,283304068.0,0.0,62.88427810318011
JAIN IRRIGATION SYSTEMS,NSE_EQ|INE175A01038,Monthly,2025-09-01,50.5,59.0,49.15,55.99,115707620.0,0.0,37.404696553827385
STERLITE TECHNOLOGIES LTD,NSE_EQ|INE089C01029,Monthly,2025-09-01,110.2,126.8,105.73,123.27,40208540.0,0.0,44.382512927271506
DIGITIDE SOLUTIONS LTD,NSE_EQ|INE0U4701011,Monthly,2025-09-01,201.01,209.5,177.01,177.45,4889460.0,0.0,
JINDAL SAW LIMITED,NSE_EQ|INE324A01032,Monthly,2025-09-01,198.2,214.0,197.8,210.22,29613856.0,0.0,33.22738242392137
AEROFLEX ENTERPRISES LTD,NSE_EQ|INE065D01027,Monthly,2025-09-01,87.55,90.79,84.0,84.87,1790980.0,0.0,42.733894349763105
PCBL CHEMICAL LIMITED,NSE_EQ|INE602A01031,Monthly,2025-09-01,373.15,425.95,370.3,403.2,17739054.0,0.0,54.76845904447299
KOTAKMAMC - KOTAKALPHA,NSE_EQ|INF174KA1IA5,Monthly,2025-09-01,48.35,50.47,47.1,49.34,14781805.0,0.0,37.97142857142858
RICO AUTO INDUSTRIES LTD,NSE_EQ|INE209B01025,Monthly,2025-09-01,89.55,113.28,89.55,104.43,40958254.0,0.0,38.53258081067214
