instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,EMA_short,EMA_long,EMA_cross,Cross_Type,Trade_Type,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Days_Since_Entry
ASHIANA HOUSING LTD,NSE_EQ|INE365D01021,Weekly,2025-09-22,308.15,313.15,306.0,308.75,40441.0,0.0,314.5072011302538,315.24382184526655,11 x 51,Death,Short,2025-09-22,308.75,,,1
NMDC STEEL LIMITED,NSE_EQ|INE0NNS01018,Weekly,2025-09-22,46.92,47.54,46.25,46.61,6978983.0,0.0,42.203691151420706,41.98517802080727,11 x 51,Golden,Long,2025-09-22,46.61,,,1
BRIGADE HOTEL VENTURE LTD,NSE_EQ|INE03NU01014,Weekly,2025-09-22,84.61,85.99,83.3,83.68,264503.0,0.0,84.32327751105015,84.32340590832327,11 x 51,Death,Short,2025-09-22,83.68,,,1
PCBL CHEMICAL LIMITED,NSE_EQ|INE602A01031,Weekly,2025-09-15,385.35,425.95,384.2,413.55,8548732.0,0.0,391.10735739126864,388.752144135915,11 x 51,Golden,Long,2025-09-15,413.55,,,8
HERANBA INDUSTRIES LTD,NSE_EQ|INE694N01015,Weekly,2025-09-15,329.9,332.9,320.8,321.65,197001.0,0.0,337.8954468699329,338.73288159775126,11 x 51,Death,Short,2025-09-15,321.65,,,8
AVANTEL LIMITED,NSE_EQ|INE005B01027,Weekly,2025-09-08,179.4,183.29,166.11,173.95,20342005.0,0.0,152.00769756768088,149.54597298159857,11 x 51,Golden,Long,2025-09-08,173.95,,,15
NETWORK PEOPLE SRV TECH L,NSE_EQ|INE0FFK01017,Weekly,2025-09-08,2168.9,2208.6,2064.3,2076.8,77456.0,0.0,2122.870700012419,2123.689365663193,11 x 51,Death,Short,2025-09-08,2076.8,,,15
DSPAMC - TOP10ADD,NSE_EQ|INF740KA1UR9,Weekly,2025-09-01,93.81,95.7,93.0,93.5,1141385.0,0.0,95.36550010555126,95.63941715665852,11 x 51,Death,Short,2025-09-01,93.5,,,22
COUNTRY CONDO S LIMITED,NSE_EQ|INE695B01025,Weekly,2025-09-01,6.49,8.89,6.45,8.22,1700695.0,0.0,7.025380545363075,6.84871032358589,11 x 51,Golden,Long,2025-09-01,8.22,,,22
INDIAN CARD CLOTHING CO.,NSE_EQ|INE061A01014,Weekly,2025-09-01,266.85,285.45,251.1,276.05,85686.0,0.0,287.3964853091587,288.3080572285088,11 x 51,Death,Short,2025-09-01,276.05,,,22
EFC (I) LIMITED,NSE_EQ|INE886D01026,Weekly,2025-09-01,342.0,342.0,322.65,325.25,751616.0,0.0,335.1666666666667,336.54437869822476,11 x 51,Death,Short,2025-09-01,325.25,,,22
