instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,EMA_short,EMA_long,EMA_cross,Cross_Type,days_from_cross
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-01-27 00:00:00,137.8,158.0,135.1,154.95,1426764.0,0.0,154.95,154.95,11 x 51,,
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-02-03 00:00:00,155.0,165.0,135.0,137.5,1862489.0,0.0,152.04166666666666,154.27884615384616,11 x 51,Death,0
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-02-10 00:00:00,138.0,138.0,105.1,106.2,7046073.0,0.0,144.40138888888887,152.42965976331362,11 x 51,Death,7
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-02-17 00:00:00,109.8,129.5,109.8,120.25,6035447.0,0.0,140.3761574074074,151.19198054164772,11 x 51,Death,14
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-02-24 00:00:00,122.0,127.5,116.8,123.0,2595826.0,0.0,137.4801311728395,150.1076735977382,11 x 51,Death,21
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-03-03 00:00:00,125.0,126.5,111.6,112.95,1564848.0,0.0,133.39177597736625,148.6785323055175,11 x 51,Death,28
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-03-10 00:00:00,112.0,135.0,108.35,125.8,4140820.0,0.0,132.12647998113854,147.7985887553053,11 x 51,Death,35
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-03-17 00:00:00,126.05,130.0,113.35,125.5,3221531.0,0.0,131.0220666509488,146.9409507262551,11 x 51,Death,42
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-03-24 00:00:00,125.0,129.0,95.1,96.85,5478017.0,0.0,125.326722209124,145.0143756983222,11 x 51,Death,49
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-03-31 00:00:00,95.95,95.95,84.15,93.4,4177929.0,0.0,120.00560184093666,143.02920740223288,11 x 51,Death,56
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-04-07 00:00:00,95.45,107.5,81.1,106.0,6834726.0,0.0,117.67133486744723,141.6050071175316,11 x 51,Death,63
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-04-15 00:00:00,107.0,108.0,85.5,86.05,2311544.0,0.0,112.40111238953936,139.46827607454964,11 x 51,Death,71
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-04-21 00:00:00,87.7,96.9,80.05,95.7,4496072.0,0.0,109.61759365794947,137.78488084091313,11 x 51,Death,77
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026,Weekly,2003-04-28 00:00:00,96.95,106.4,92.5,105.45,3034513.0,0.0,108.9229947149579,136.5412315778011,11 x 51,Death,84
